Country,Region,education_expenditure(%GDP),education_categorie,power_generation(kW),generation_categorie,Btu/person_consumption($),consumption_categorie,financial_assets_value($),financial_categorie
SOLOMON ISLANDS,AUSTRALIA AND OCEANIA,12.8,very_high,37000,very_low,5655000,very_low,688220000,very_low
BOLIVIA,SOUTH AMERICA,9.8,very_high,4375000,medium,29340000,medium,1800000000,low
NAMIBIA,AFRICA,9.6,very_high,646000,low,21734000,low,2956000000,low
SIERRA LEONE,AFRICA,9.1,very_high,149000,very_low,2301000,very_low,495699000,very_low
BELIZE,CENTRAL AMERICA AND THE CARIBBEAN,8.7,very_high,220000,very_low,30752000,medium,473729000,very_low
BOTSWANA,AFRICA,8.7,very_high,758000,low,32443000,medium,4756000000,medium
LESOTHO,AFRICA,8.7,very_high,104000,very_low,8117000,very_low,854089000,low
SAUDI ARABIA,MIDDLE EAST,7.8,very_high,119620000,very_high,349692000,very_high,457949000000,very_high
CABO VERDE,AFRICA,7.6,very_high,200000,very_low,19999000,low,837881000,low
TUNISIA,AFRICA,7.3,very_high,6639000,medium,33754000,medium,9240000000,medium
SWEDEN,EUROPE,7.2,very_high,55307000,very_high,142102000,very_high,60863000000,high
ISRAEL,MIDDLE EAST,7.1,very_high,22612000,high,112437000,high,204661000000,very_high
ALGERIA,AFRICA,7.0,very_high,22591000,high,61843000,medium,81217000000,very_high
BHUTAN,SOUTH ASIA,7.0,very_high,2344000,low,64082000,medium,654481000,very_low
MOROCCO,AFRICA,6.8,very_high,14615000,high,23520000,low,36328000000,high
BELGIUM,EUROPE,6.7,very_high,28248000,high,190416000,very_high,40813000000,high
COSTA RICA,CENTRAL AMERICA AND THE CARIBBEAN,6.7,very_high,3751000,medium,30725000,medium,13225000000,medium
SOUTH AFRICA,AFRICA,6.6,very_high,65989000,very_high,86197000,high,62492000000,high
TONGA,AUSTRALIA AND OCEANIA,6.6,very_high,34000,very_low,23272000,low,396530000,very_low
ESTONIA,EUROPE,6.6,very_high,3225000,medium,73679000,high,2593000000,low
KUWAIT,MIDDLE EAST,6.6,very_high,20294000,high,389848000,very_high,52619000000,high
BARBADOS,CENTRAL AMERICA AND THE CARIBBEAN,6.5,very_high,320000,very_low,68293000,high,1606000000,low
DENMARK,EUROPE,6.4,very_high,20794000,high,98513000,high,109371000000,very_high
MOLDOVA,EUROPE,6.4,very_high,779000,low,35686000,medium,5453000000,medium
HONDURAS,CENTRAL AMERICA AND THE CARIBBEAN,6.4,very_high,3334000,medium,16642000,low,7543000000,medium
MOZAMBIQUE,AFRICA,6.3,very_high,2860000,medium,5789000,very_low,3637000000,medium
MACAU,EAST AND SOUTHEAST ASIA,6.3,very_high,427000,low,64641000,high,27771000000,high
KYRGYZSTAN,CENTRAL ASIA,6.2,very_high,3944000,medium,27580000,low,3237000000,low
AUSTRALIA,AUSTRALIA AND OCEANIA,6.1,very_high,108193000,very_high,223158000,very_high,61703000000,high
CYPRUS,EUROPE,6.1,very_high,2288000,low,107188000,high,1789000000,low
